SecurityCode	SecurityName	LatestPrice	PriceChangeRate	HolderNum	PreviousHolderNum	HolderNumChange	HolderNumChangeRate	RangeChangeRate	EndDate	PreviousEndDate	HolderAvgCapitalisation	HolderAvgStockQuantity	TotalCapitalisation	CapitalStock	NoticeDate
600175	美都能源	4.22	-0.47	70241	82152	-11911	-14.4987	0.58	2017-12-31T00:00:00	2017-09-30T00:00:00	266297.978143677	50917.4	18705036282.79	3576488773	2018-05-03T00:00:00
600699	均胜电子	27.04	-0.18	54225	46530	7695	16.5377	-7.36	2017-12-31T00:00:00	2017-09-30T00:00:00	575438.071553711	17506.48	31203129430	949289000	2018-04-28T00:00:00
600587	新华医疗	16.02	5.81	32175	33424	-1249	-3.7368	-5.73	2017-12-31T00:00:00	2017-09-30T00:00:00	212087.883384305	12631.8	6823927647.89	406428091	2018-04-28T00:00:00
600967	内蒙一机	13.68	2.01	51636	58078	-6442	-11.092	-10.87	2017-12-31T00:00:00	2017-09-30T00:00:00	394299.779124061	32721.97	20360063394.85	1689631817	2018-04-28T00:00:00
002639	雪人股份	6.89	-0.43	46955	48562	-1607	-3.3092	2.4	2017-12-31T00:00:00	2017-12-15T00:00:00	116424.877869662	14355.72	5466730140.37	674072767	2018-04-28T00:00:00
600580	卧龙电气	8.72	0.35	55721	51938	3783	7.2837	-2.2	2017-12-31T00:00:00	2017-09-30T00:00:00	185281.773188923	23131.31	10324085683.86	1288899586	2018-04-28T00:00:00
000690	宝新能源	7.02	0.86	96396	101082	-4686	-4.6358	0.5	2017-12-31T00:00:00	2017-09-30T00:00:00	180579.099713681	22572.39	17407102896	2175887862	2018-04-28T00:00:00
600779	水井坊	42.58	0.95	41092	29572	11520	38.9558	11.91	2017-12-31T00:00:00	2017-09-30T00:00:00	556408.514221746	11889.07	22863938666.4	488545698	2018-04-28T00:00:00
000501	鄂武商A	14.3	1.92	24569	20851	3718	17.8313	-12.55	2017-12-31T00:00:00	2017-09-30T00:00:00	499536.976953071	31299.31	12273123986.76	768992731	2018-04-28T00:00:00
000793	华闻传媒	0	0	66331	62059	4272	6.8838	-9.49	2017-12-31T00:00:00	2017-12-15T00:00:00	302015.050992749	30171.33	20032960347.4	2001294740	2018-04-28T00:00:00
